Ref,Equipo,Puerto origen,Señal,Conexión,Destino,Puerto destino,Observaciones
1,Mixer Behringer XR12,In 1,Audio mic,XLR M/H 9m,Mic orador,XLR,
2,Mixer Behringer XR12,In 2,Audio mic,XLR M/H 8m,Mic izq,XLR,
3,Mixer Behringer XR12,In 3,Audio mic,XLR M/H 9m,Mic ent,XLR,
4,Mixer Behringer XR12,In 4,Audio mic,XLR M/H 12m,Mic der,XLR,
5,Mixer Behringer XR12,In 5,Audio line,Plug - Plug,Mic inalámbrico 1,Line out,
6,Mixer Behringer XR12,In 6,Audio line,Plug - Plug,Mic inalámbrico 2,Line out,
7,Mixer Behringer XR12,In 7,Audio line,Plug - Plug,Mic inalámbrico 3,Line out,
8,Mixer Behringer XR12,In 8,Audio line,Plug - Plug,Mic inalámbrico 4,Line out,
9,Mixer Behringer XR12,In 9,Audio line,XLR M/H 10m,Interfaz Behringer UMC404HD,Out L,
10,Mixer Behringer XR12,Main out L,Audio line,"XLR Y 5/3/3
XLR M/H 33m
XLR M/H 14m",Bafle centro izq,In,
11,Mixer Behringer XR12,Main out L,Audio line,"XLR Y 5/3/3
XLR M/H 14m
XLR M/H 17m",Bafle centro der,In,
12,Mixer Behringer XR12,Main out R,Audio line,"XLR Y 7.5/10/28 (punta 28m)
XLR M/H 34m",Bafle fondo izq,In,
13,Mixer Behringer XR12,Main out R,Audio line,"XLR Y 7.5/10/28 (punta 10m)
XLR M/H 44m",Bafle fondo der,In,
14,Mixer Behringer XR12,Aux out 1,Audio line,XLR M/H 11m,Bafle frente izq,In,
15,Mixer Behringer XR12,Aux out 2,Audio line,XLR M/H 11m,Bafle monitor plataforma ,In,
16,Mixer Behringer XR12,Phones,Audio line,"XLR M/H 11m
Adaptador XLR H-Plug",Interfaz Tascam US-144,In 1,
17,Mixer Behringer XR12,Ethernet,Ethernet,UTP Cat5 RJ45,Router/AP Ethernet Audio,LAN 1,
18,Mixer Behringer XR12,Power,Power,Interlock,Zapatilla plataforma ,,
19,Interfaz Tascam US-144,USB,USB,USB A-B,PC Video,,Solamente en puertos USB 2.0 (negro)
20,Interfaz Tascam US-144,Line In L,Audio line,XLR M/H 11m,Mixer Behringer XR12,Phones,
21,Interfaz Behringer UMC404HD,Out L,Audio line,,Mixer Behringer XR12,In 9,
22,Interfaz Behringer UMC404HD,USB,USB,USB A-B,PC Multimedia,,
23,PC Video,Power,Power,Interlock,Zapatilla FOH,,
24,PC Video,Ethernet,Ethernet,UTP Cat5 RJ45,Switch Ethernet,Ethernet 2,
25,PC Video,USB 2.0,USB,USB A-B,Interfaz Behringer UMC404HD,USB,Solamente en puertos USB 2.0 (negro)
26,PC Video,DVI,Video HDMI,"Adaptador DVI-HDMI
HDMI",Monitor PC,HDMI,
27,PC Video,HDMI,Video HDMI,HDMI,Conversor HDMI-SDI,In,
28,PC Mixer,Power,Power,Interlock,Zapatilla FOH,,
29,PC Mixer,Ethernet,Ethernet,UTP Cat5 RJ45,Router/AP Ethernet Audio,Ethernet,
30,PC Multimedia,Power,Power,Interlock,Zapatilla FOH,,
31,PC Multimedia,Ethernet,Ethernet,UTP Cat5 RJ45,Switch Ethernet,LAN 2,
32,PC Multimedia,USB,USB,USB A-B,Interfaz Tascam US-144,USB,Solamente en puertos USB 2.0 (negro)
33,Cámara IP PTZ,Power,Power,Fuente 12v,Zapatilla FOH,,
34,Cámara IP PTZ,Ethernet,Ethernet,UTP Cat5 RJ45,Switch Ethernet,Ethernet 4,
35,Cámara IP fija,Power,Power,Fuente 12v,Zapatilla FOH,,
