ID_Cable,Tipo,Largo,Ubicacion,Categoria,Propietario,Contenedor,Estado,Notas,Metadatos
A-FOH-RJ1,RJ45 FTP,10,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-PLA-RJ,RJ45 FTP,10,Plataforma,Audio,Circuito,Ambil Audio,Guardado,,
A-DL1-RJ,RJ45 FTP,10,Delay 1-Cieloraso,Audio,Circuito,Ambil Audio,Guardado,,{}
A-DL2-RJ,RJ45 FTP,20,Delay 2-Cieloraso,Audio,Circuito,Ambil Audio,Guardado,,
A-FOH-RJ3,RJ45 FTP,20,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-CPA-RJ1,RJ45 FTP,5,Cocina PA,Audio,Circuito,Ambil Audio,Guardado,,
A-CPA-RJ2,RJ45 FTP,30,Cocina PA,Audio,Circuito,Ambil Audio,Guardado,,
A-PLA-XLR1,XLR,,Plataforma,Audio,Circuito,Ambil Audio,Guardado,,
A-PLA-XLR2,XLR,,Plataforma,Audio,Circuito,Ambil Audio,Guardado,,
A-PLA-XLR3,XLR,,Plataforma,Audio,Circuito,Ambil Audio,Guardado,,
A-PLA-XLR4,XLR,,Plataforma,Audio,Circuito,Ambil Audio,Guardado,,
V-FOH-SDI,SDI,30,FOH,Video,Circuito,Ambil Audio,Guardado,Transmisión de video de FOH a Splitter proyectores,
V-AUX-SDI,SDI,50,Sala Auxiliar,Video,Circuito,Ambil Audio,Guardado,Transmisión de video de splitter a conversor proyectores PB,
V-PB-COAX1,Coaxial,100,Recepción PB,Video,Circuito,Ambil Audio,Guardado,Transmisión de video analógico a PB,
V-PB-COAX2,Coaxial,20,Primeros Auxilios PB,Video,Circuito,Ambil Audio,Guardado,Transmisión de video analógico a primeros auxilios,
R-FOH-CAM,UTP CAT5,8,FOH,Red,Circuito,Ambil Audio,Guardado,Conexión de red a caja de cámaras,
A-FOH-XLR1,XLR,11,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-FOH-XLR2,XLR,2.5,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-FOH-XLR3,XLR,9,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-FOH-XLR4,XLR,1,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-FOH-XLR5,XLR,11,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-FOH-XLR6,XLR,11,FOH,Audio,Circuito,Ambil Audio,Guardado,,
A-FOH-XLR7,XLR,5,FOH,Audio,Circuito,Ambil Audio,Guardado,,
