ID_Patch,ID_Origen,Puerto_Origen,ID_Destino,Puerto_Destino,Tipo_Senial,Estado,Notas,Metadatos
A-FORK-CON/A-FORK-JKRCA,A-FORK-CON,Headphones Out,A-FORK-JKRCA,"Jack 1/4"" In",Audio Line,Desconectado,Salida a TVs y sala auxiliar,{}
A-FORK-CON/A-FORK-MEDH,A-FORK-CON,Main Out L,A-FORK-MEDH,1,Audio Line,Desconectado,Salida a delay 1,{}
A-FORK-CON/A-FORK-MEDH2,A-FORK-CON,Main Out R,A-FORK-MEDH,2,Audio Line,Desconectado,Salida a delay 2,{}
A-FORK-JK3RCA/A-FORK-RCAJK1,A-FORK-JK3RCA,L Out (Verde),A-FORK-RCAJK1,RCA In,Audio Line,Desconectado,,{}
A-FORK-JK3RCA/A-FORK-RCAJK2,A-FORK-JK3RCA,R Out (Rojo),A-FORK-RCAJK2,RCA In,Audio Line,Desconectado,,{}
A-FORK-JKRCA/A-FORK-JK3RCA,A-FORK-JKRCA,RCA Out,A-FORK-JK3RCA,MIC In (Blanco),Audio Line,Desconectado,,{}
A-FORK-MEDM/A-FORK-CON1,A-FORK-MEDM,1,A-FORK-CON,In 1,Audio Mic,Desconectado,,{}
A-FORK-MEDM/A-FORK-CON2,A-FORK-MEDM,2,A-FORK-CON,In 2,Audio Mic,Desconectado,,{}
A-FORK-MEDM/A-FORK-CON3,A-FORK-MEDM,3,A-FORK-CON,In 3,Audio Mic,Desconectado,,{}
A-FORK-MEDM/A-FORK-CON4,A-FORK-MEDM,4,A-FORK-CON,In 4,Audio Mic,Desconectado,,{}
A-FORK-RCAJK1/A-FORK-CON,A-FORK-RCAJK1,"Jack 1/4"" Out",A-FORK-CON,In 7,Audio Line,Desconectado,,{}
A-FORK-RCAJK2A-FORK-CON,A-FORK-RCAJK2,"Jack 1/4"" Out",A-FORK-CON,In 8,Audio Line,Desconectado,,{}
A-FORK-XLRMJK6/A-FORK-MEDH,A-FORK-XLRMJK6,XLR M ,A-FORK-MEDH,3,Audio Line,Desconectado,,{}
A-FORK-XLRMJK7/A-FORK-MEDH,A-FORK-XLRMJK7,XLR M ,A-FORK-MEDH,4,Audio Line,Desconectado,,{}
A-PLA-MEDH/A-PLA-RJ,A-PLA-MEDH,RJ45,A-PLA-RJ,RJ45,Audio Mic,Desconectado,,{}
A-PLA-MIC1/A-PLA-XLR1,A-PLA-MIC1,XLR,A-PLA-XLR1,XLR H,Audio Mic,Desconectado,,{}
A-PLA-MIC2/A-PLA-XLR2,A-PLA-MIC2,XLR,A-PLA-XLR2,XLR H,Audio Mic,Desconectado,,{}
A-PLA-MIC3/A-PLA-XLR3,A-PLA-MIC3,XLR,A-PLA-XLR3,XLR H,Audio Mic,Desconectado,,{}
A-PLA-MIC4/A-PLA-XLR4,A-PLA-MIC4,XLR,A-PLA-XLR4,XLR H,Audio Mic,Desconectado,,{}
A-PLA-RJ/A-FORK-MEDM,A-PLA-RJ,RJ45,A-FORK-MEDM,RJ45,Audio Mic,Desconectado,,{}
A-PLA-XLR1/A-PLA-MEDH,A-PLA-XLR1,XLR M,A-PLA-MEDH,XLR H 1,Audio Mic,Desconectado,,{}
A-PLA-XLR2/A-PLA-MEDH,A-PLA-XLR2,XLR M,A-PLA-MEDH,XLR H 2,Audio Mic,Desconectado,,{}
A-PLA-XLR3/A-PLA-MEDH,A-PLA-XLR3,XLR M,A-PLA-MEDH,XLR H 3,Audio Mic,Desconectado,,{}
A-PLA-XLR4/A-PLA-MEDH,A-PLA-XLR4,XLR M,A-PLA-MEDH,XLR H 4,Audio Mic,Desconectado,,{}
E-FOH-F12V1/E-FOH-POE1,E-FOH-F12V1,DC 12v Out,E-FOH-POE1,DC In,Electricidad DC 12v,Desconectado,,{}
E-FOH-POE1/R-FORK-ROUTER,E-FOH-POE1,RJ45 M,R-FORK-ROUTER,ETH 1,Red Ethernet,Desconectado,,{}
E-FOH-POE2/E-FOH-POE1,E-FOH-POE2,RJ45 H,E-FOH-POE1,RH45 H,Red Ethernet POE,Desconectado,,{}
E-FOH-POE2/V-FOH-CAMS,E-FOH-POE2,DC 12v Out,V-FOH-CAMS,DC In,Electricidad DC 12v,Desconectado,,{}
V-AURK-SDIHDMI/V-AURK-HDMISP,V-AURK-SDIHDMI,HDMI Out,V-AURK-HDMISP,HDMI In,HDMI,Desconectado,Conexión a proyectores de PA,{}
V-AURK-SDIHDMI/V-AUX-SDI,V-AURK-SDIHDMI,SDI Out,V-AUX-SDI,In,Video SDI,Desconectado,,{}
V-AUX-SDI/V-AUX-SDIHDMI,V-AUX-SDI,Out,V-AUX-SDIHDMI,SDI In,Video SDI,Desconectado,,{}
V-FOH-CAMAUD/V-FOH-CAMS,V-FOH-CAMAUD,USB,V-FOH-CAMS,USB 2,USB,Desconectado,Conexión a RPi,{}
V-FOH-CAMPLA/V-FOH-CAMS,V-FOH-CAMPLA,USB,V-FOH-CAMS,USB 1,USB,Desconectado,Conexión a RPi,{}
V-FOH-CAMPTZ/V-FOH-CAMS,V-FOH-CAMPTZ,Ethernet,V-FOH-CAMS,ETH 1,Red Ethernet,Desconectado,,{}
V-FOH-CAMS/E-FOH-POE2,V-FOH-CAMS,ETH 5,E-FOH-POE2,RJ45 M,Red Ethernet,Desconectado,,{}
V-FOH-SDI/V-AURK-SDIHDMI,V-FOH-SDI,Out,V-AURK-SDIHDMI,SDI In,Video SDI,Desconectado,,{}
V-FORK-AVRF/V-PB-COAX1,V-FORK-AVRF,RF Out,V-PB-COAX1,In,Video RF analógico,Desconectado,,{}
V-FORK-HDMIAV/V-FORK-AVRF,V-FORK-HDMIAV,AV Out,V-FORK-AVRF,AV In,Video Compuesto,Desconectado,,{}
V-FORK-HDMISDI/V-FOH-SDI,V-FORK-HDMISDI,SDI 1,V-FOH-SDI,In,Video SDI,Desconectado,,{}
V-FORK-HDMISP/V-FORK-HDMIAV,V-FORK-HDMISP,HDMI Out 2,V-FORK-HDMIAV,HDMI In,Video HDMI,Desconectado,,{}
V-FORK-HDMISP/V-FORK-HDMISDI,V-FORK-HDMISP,HDMI Out 1,V-FORK-HDMISDI,HDMI In,Video HDMI,Desconectado,,"{""historial"":[{""timestamp"":1777731896003,""nombre"":""Jonatan "",""detalle"":""Conectado""},{""timestamp"":1777731903250,""nombre"":""Jonatan "",""detalle"":""Desconectado""}],""notas"":[]}"
V-FORK-PC/A-FORK-JK3RCA,V-FORK-PC,Headset Out,A-FORK-JK3RCA,"3,5 Jack TRSS",Audio Line,Desconectado,,{}
